Selma Lagerlöf 	 Kejsarn av Portugallien 	 1914
Selma Lagerlöf 	 Körkarlen 	 1912
Selma Lagerlöf 	 Kristuslegender 	 1904
Selma Lagerlöf 	 Liljecronas hem 	 1911
Selma Lagerlöf 	 Löwensköldska ringen 	 1925
Selma Lagerlöf 	 Nils Holgerssons underbara resa genom Sverige. 1 	 1907
Selma Lagerlöf 	 Nils Holgerssons underbara resa genom Sverige. 2 	 1907
Selma Lagerlöf 	 Osynliga länkar [1894] 	 1894
Selma Lagerlöf 	 Troll och människor 	 1915
Anne Charlotte Leffler 	 Händelsevis 	 1869
Oscar Levertin 	 Konflikter 	 1885
Oscar Levertin 	 Rococo-noveller 	 1899
Oscar Levertin 	 Småmynt. Skizzer 	 1883
Clas Livijn 	 Spader Dame och novellen Samvetets fantasi 	 1997
Axel Lundegård 	 I gryningen 	 1885
Axel Lundegård 	 La Mouche 	 1891
Axel Lundegård 	 Röde Prinsen 	 1889
Axel Lundegård 	 Titania. En kärlekssaga 	 1892
Claës Lundin 	 Oxygen och Aromasia 	 1878
Mikael Lybeck 	 ”Allas vår Margit” 	 1893
Mikael Lybeck 	 Breven till Cecilia 	 1920
Mikael Lybeck 	 Dagar och nätter 	 1896
Mikael Lybeck 	 Den starkare 	 1900
Mikael Lybeck 	 Ett mosaikarbete 	 1892
Mikael Lybeck 	 Tomas Indal 	 1911
Mathilda Malling 	 Berta Funcke 	 1885
Mathilda Malling 	 Mina dagböcker 	 1926
Gustaf Henrik Mellin 	 Sweriges Sista Strid. Fantastiskt Nattstycke 	 1840
Petrus (Pelle) Molin 	 Ådalens Poesi 	 1897
Helena Nyblom 	 En sagokrans 	 1918
Helena Nyblom 	 Qvinnoöden 	 1888
Jenny Maria Ödmann 	 Dolda brott 	 1902
Henrica Carolina von Platen 	 Evelina Reder. Också En tafla ur lifvet 	 1841
Julius Regis 	 Blå spåret 	 1916
Mathilda Roos 	 Berättelser och skizzer 	 1884
Fredrika Charlotta Runeberg 	 Fru Catharina Boije och hennes döttrar 	 1858
Fredrika Charlotta Runeberg 	 Sigrid Liljeholm 	 1862
Fredrika Charlotta Runeberg 	 Teckningar och drömmar 	 1861
Maria Sandel 	 Vid svältgränsen och andra berättelser 	 1908
Martina von Schwerin den yngre 	 Småsaker af en nybegynnare 2 	 1836
Martina von Schwerin den yngre 	 Småsaker af en nybegynnare 3 	 1840
Martina von Schwerin den yngre 	 Småsaker af en nybegynnare 4 	 1840
Frank Heller 	 Doktor Zimmertür säger farväl 	 1931
Johan Vilhelm Snellman 	 Fyra Giftermål. Taflor i Terburgs manér 	 1842
Hjalmar Söderberg 	 Förvillelser 	 1895
Hjalmar Söderberg 	 Historietter 	 1898
Hjalmar Söderberg 	 Martin Bircks ungdom 	 1901
Mikael Söderberg 	 Den främmande staden 	 1928
Anna Wahlenberg 	 Interiörer. Skisser 	 1900
Otto Witt 	 De sista människorna 	 1911
Otto Witt 	 Skapelsen. Urtidsroman 	 1912
